Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,314.9249878,324.9750061,313,321.6000061,265.9317627,19847448
2009-01-05,324.75,344.25,323.7749939,341.4620056,282.3557434,22027876
2009-01-06,340,347.5,332.8120117,342.7250061,283.400116,24118400
2009-01-07,342.25,346.5,293.75,300.1879883,248.2261505,34002200
2009-01-09,302.5,302.5,273.4129944,288.3120117,238.405838,37952520
2009-01-12,284.9249878,286.25,271.25,274.4750061,226.9640198,29458336
2009-01-13,273.6749878,286.5,266.25,269.3880005,222.7575531,26320964
2009-01-14,272.7749939,304.5,272.7749939,294.9379883,243.884903,26201564
2009-01-15,285.4500122,289.9869995,276.875,285.5870056,236.1525574,25094924
2009-01-16,287.75,307.75,284.9750061,304.3370056,251.6569977,26647296
2009-01-19,306.1499939,312.4869995,302,307.4750061,254.25177,16983120
2009-01-20,304.2000122,304.2000122,292,295.9129944,244.6911163,18588400
2009-01-21,290,295.7250061,277.5,279.9620056,231.501236,19869540
2009-01-22,287.4750061,288.7120056,276.7749939,284.0750122,234.902298,27980396
2009-01-23,299.5,333.75,280,289.0379944,239.0061798,32434432
2009-01-27,296.5,308.3619995,292.5,306.4869995,253.4347534,17933540
2009-01-28,312,322.5,306.6000061,318.5,263.3683472,18371436
2009-01-29,321.25,323.75,310.3120117,317.5249939,262.5621338,25373372
2009-01-30,309.5,332.7000122,309.5,330.8999939,273.6219788,22237208
2009-02-02,322.5,338.2000122,318.3880005,320,264.6087646,21461864
2009-02-03,322.5,333.6749878,318.2630005,326.5499878,270.0249023,27643564
2009-02-04,328.75,334.375,323.7749939,326.875,270.2936707,15866960
2009-02-05,332.25,332.25,317.7879944,322.2000122,266.427948,16426340
2009-02-06,325,337.5,323.8999939,336.2120056,278.0144653,17364252
2009-02-09,338.75,349.75,335.25,347.4249878,287.2865601,17751108
2009-02-10,347.2250061,353.5249939,343.0870056,350.4869995,289.8185425,27187004
2009-02-11,341.25,347.3250122,340.25,345.3120117,285.5392456,16821148
2009-02-12,344.6749878,344.6749878,336.3250122,337.8880005,279.4003906,12578160
2009-02-13,341.75,351,340.25,348.1000061,287.844635,11618608
2009-02-16,346.1119995,349.2630005,327.7749939,330.0499878,272.9190674,18376752
2009-02-17,325.2879944,326.75,314.5499878,316.8250122,261.9833374,15315008
2009-02-18,316.75,329.4500122,310,323.7879944,267.7410583,18296752
2009-02-19,322.5,327.25,320.5249939,323.4379883,267.4515991,12017532
2009-02-20,314.0130005,320.75,310.3880005,313.3500061,259.1098328,14710180
2009-02-24,308.75,315.8999939,300.3370056,313.3120117,259.0784302,18280676
2009-02-25,316.25,321.5,315.6380005,316.6380005,261.8286743,11819888
2009-02-26,314.5,324.25,312.8250122,322.7000122,266.8413391,15358208
2009-02-27,322.3500061,323.25,311.6380005,316.5130005,261.7253113,19240644
2009-03-02,307.1749878,315.9249878,303.75,306.4129944,253.3735962,19751964
2009-03-03,307.5,312.9869995,293.75,299.2120056,247.4190826,20948104
2009-03-04,288.8370056,304.4249878,288.8370056,302.7749939,250.3653412,23906800
2009-03-05,302,305,285.5620117,287.4500122,237.6930542,28469796
2009-03-06,282.5,294.25,278.8250122,292.4750061,241.8482361,18251636
2009-03-09,290.25,292,284.5379944,288.3370056,238.4265747,13387324
2009-03-12,295.25,303.6499939,289.5,300.5,248.4841309,19459676
2009-03-13,307.4750061,323.4500122,306.5,321.0620117,265.486908,16454240
2009-03-16,321.0620117,333.5,317.75,331.8999939,274.4488525,18107532
2009-03-17,332.5,335.75,323.2879944,325.0499878,268.7845459,19021944
2009-03-18,328.7749939,340.5,328.7749939,332.8500061,275.234436,17475068
2009-03-19,334.5,338.4620056,330.0249939,336.4249878,278.1906128,17364676
2009-03-20,334.75,339.9750061,330.5,334.7999878,276.8468628,20423760
2009-03-23,338.5,362.5,338.5,359.6119995,297.3639526,19886352
2009-03-24,362.5130005,368.75,360,363.1119995,300.2581787,27586964
2009-03-25,362.5,387.25,362.5,383.0499878,316.744873,38270736
2009-03-26,387.4249878,394.75,380.75,391.375,323.6289063,32862004
2009-03-27,388.5,395.8500061,383.75,387.1879883,320.1666565,26978552
2009-03-30,380.2749939,383.75,373.75,379.1119995,313.4885559,27484352
2009-03-31,383.75,387.9869995,378.75,381.1879883,315.2052002,22857932
2009-04-01,380.75,398.5,374.3370056,395.3120117,326.8843384,19111420
2009-04-02,402.5,420,400.5620117,415.3370056,343.4430847,21956584
2009-04-06,425,435.5750122,411.3999939,417.8999939,345.5624695,21036112
2009-04-08,409.9869995,434.75,401.25,431.2879944,356.6330261,36779864
2009-04-09,437.5,441.9620056,426.3120117,433.9379883,358.8242798,20775068
2009-04-13,439.9869995,447.25,430.75,443.3880005,366.6385498,15219400
2009-04-15,437.5,459.9249878,433.2879944,457.5130005,378.318512,24188844
2009-04-16,452.7749939,460,429.5870056,433.75,358.6688843,26479032
2009-04-17,437.5249939,445.1629944,425.5870056,429.2369995,354.9370728,25680984
2009-04-20,430,438.6749878,422.0750122,428.8500061,354.6170654,19720996
2009-04-21,423.75,433.4129944,421.1749878,426.5249939,352.6944885,20010512
2009-04-22,430,433.25,422.75,429.5,355.1545105,17694240
2009-04-23,429.25,443.7250061,424,440.9249878,364.6018982,16956048
2009-04-24,437.5,450.5,431.75,447.2120056,369.8005981,21900576
2009-04-27,447.75,451.75,440.25,446.3880005,369.1192322,16790692
2009-04-28,445.25,448,432.75,434.2879944,359.113739,16096916
2009-04-29,437.75,455,436.4620056,451.5620117,373.3976746,17085636
2009-04-30,452.5499878,452.5499878,452.5499878,452.5499878,374.2145996,0
2009-05-04,462.75,473.75,460.0750122,471.7749939,390.1117554,17142044
2009-05-05,471.25,473.6749878,459,470.9129944,389.3989868,19513952
2009-05-06,472.25,484.5249939,465,470.375,388.9541626,19527644
2009-05-07,462.5,481.2250061,462.5,478.8880005,395.9936218,14696492
2009-05-08,480,483,468.75,475.0750122,392.8406067,15941280
2009-05-11,479.75,482,462.5249939,465.3999939,384.840332,15030400
2009-05-12,462.4869995,493.8500061,460.75,489.9750061,405.161438,18342348
2009-05-13,493.0620117,493.75,476.5,483.25,399.6005249,20906468
2009-05-14,475.5620117,481.875,470.0499878,477.2369995,394.6283264,16188264
2009-05-15,478.75,490,477.9129944,487.6749878,403.259552,12614108
2009-05-18,536.75,633.75,525.3120117,591.8880005,489.4335022,211280
2009-05-19,612.5,625,550,557.7249756,461.1840515,41895288
2009-05-20,550,563.1749878,534.0499878,538.1119995,444.966095,26987620
2009-05-21,536.25,544.25,525.6380005,528.8619995,437.3172302,15909488
2009-05-22,524.9500122,551.7999878,522.75,546.4379883,451.8507996,17785484
2009-05-25,550,553.75,538.5,548.6879883,453.7113342,12416228
2009-05-26,545.0250244,552.25,532.625,535.6749878,442.9508972,9936320
2009-05-27,543,551.25,538.1119995,546.5880127,451.9749146,20900372
2009-05-28,545,561.5,545,555.1380005,459.0448608,17992252
2009-05-29,561.2000122,576.9249878,553.25,567.9749756,469.6597595,25586780
2009-06-01,582.5,582.5,564.0369873,570.5499878,471.789093,11909532
2009-06-02,575.0250244,577.1119995,556.0130005,569.7999878,471.1689758,13196444
2009-06-03,565.3250122,576.875,556.375,561.4749756,464.2849426,13752492
2009-06-04,556.2000122,567.2130127,540,565.4379883,467.5619202,15440948
2009-06-05,568.75,570.25,547.5,553.1879883,457.4324036,18710684
2009-06-08,551.75,565.4500122,544,548.5,453.5558777,15112048
2009-06-09,547,572.75,543.75,568.0369873,469.7110596,16615732
2009-06-10,572.75,584.9749756,571.5369873,580.0499878,479.6446533,15860932
2009-06-11,580,581.25,570.625,575.8120117,476.1402283,10165604
2009-06-12,577.5,594.75,576.3120117,590.5250244,488.306366,19666920
2009-06-15,589.9249878,589.9249878,541.3250122,544.7000122,450.4136047,28563848
2009-06-16,537.5,546.2249756,531.6500244,535.8380127,443.0857239,20513072
2009-06-17,531.4500122,544.5,509.0870056,512.8380127,424.066925,19679512
2009-06-18,514.5,518.125,497.5249939,506.2630005,418.6300049,24829620
2009-06-19,511.25,515.6119995,494.2749939,510.375,422.0302429,19406328
2009-06-22,511.9249878,512.5,483.1380005,488.125,403.6316528,18484616
2009-06-23,475,508.4249878,475,503.8250122,416.6140442,23785980
2009-06-24,506.25,508.9379883,493.0130005,500.5870056,413.9365234,18840976
2009-06-25,500.2999878,506,485.6119995,489.5249939,404.7893982,21343356
2009-06-26,491.5379944,509.25,490.7369995,507.2999878,419.4875183,15916260
2009-06-29,506.5,528.2249756,501.1879883,521.75,431.4362793,14905444
2009-06-30,525,527.3250122,502.6499939,505.8500061,418.2884827,11925152
2009-07-01,507.4750061,521.25,497,514.7000122,425.6065674,14872316
2009-07-02,545.75,545.75,498.8370056,502.8370056,415.7970886,15400244
2009-07-03,500,508.7749939,495,506.9129944,419.1675415,17330792
2009-07-06,512,513,465.2630005,473.2879944,391.3628845,23693940
2009-07-07,475.25,478.25,456.2999878,463.8619995,383.568512,23341584
2009-07-08,463.8619995,472.5,449.3250122,457.4129944,378.2358704,23084688
